set,algorithm,id,size,time
Alpha,Generated,313,1202,228.42e-06
Alpha,Generated,314,1202,177.97e-06
Alpha,Generated,315,1202,289.79e-06
Alpha,Improved,311,1202,42.15e-06
Alpha,Improved,312,1202,82.66e-06
Alpha,Improved,313,1202,167.12e-06
Alpha,Improved,314,1202,124.79e-06
Alpha,Improved,315,1202,210.24e-06
Alpha,Generated,316,1202,208.85e-06
Alpha,Generated,317,1202,146.81e-06
Alpha,Generated,318,1202,209.57e-06
Alpha,Generated,319,1202,109.38e-06
Alpha,Generated,320,1202,277.91e-06
Alpha,Improved,316,1202,142.87e-06
Alpha,Improved,317,1202,102.30e-06
Alpha,Improved,318,1202,151.97e-06
Alpha,Improved,319,1202,70.56e-06
Alpha,Improved,320,1202,204.54e-06
Alpha,Generated,321,1202,70.51e-06
Alpha,Generated,322,1202,48.94e-06
Alpha,Generated,323,1202,121.95e-06
Alpha,Generated,324,1202,84.36e-06
Alpha,Generated,325,1202,99.85e-06
Alpha,Improved,321,1202,90.46e-06
Alpha,Improved,322,1202,60.16e-06
Alpha,Improved,323,1202,165.28e-06
Alpha,Improved,324,1202,71.80e-06
Alpha,Improved,325,1202,58.16e-06
Alpha,Generated,326,1302,18.18e-06
Alpha,Generated,327,1302,19.94e-06
Alpha,Generated,328,1302,53.63e-06
Alpha,Generated,329,1302,173.12e-06
Alpha,Generated,330,1302,116.73e-06
Alpha,Improved,326,1302,7.40e-06
Alpha,Improved,327,1302,8.14e-06
Alpha,Improved,328,1302,31.42e-06
Alpha,Improved,329,1302,128.50e-06
Alpha,Improved,330,1302,78.95e-06
Alpha,Generated,331,1302,41.94e-06
Alpha,Generated,332,1302,71.57e-06
Alpha,Generated,333,1302,60.55e-06
Alpha,Generated,334,1302,217.60e-06
Alpha,Generated,335,1302,112.88e-06
Alpha,Improved,331,1302,25.44e-06
Alpha,Improved,332,1302,42.46e-06
Alpha,Improved,333,1302,39.53e-06
Alpha,Improved,334,1302,167.34e-06
Alpha,Improved,335,1302,81.78e-06
Alpha,Generated,336,1302,180.55e-06
Alpha,Generated,337,1302,113.45e-06
Alpha,Generated,338,1302,84.28e-06
Alpha,Generated,339,1302,61.10e-06
Alpha,Generated,340,1302,163.21e-06
Alpha,Improved,336,1302,129.55e-06
Alpha,Improved,337,1302,80.62e-06
Alpha,Improved,338,1302,58.35e-06
Alpha,Improved,339,1302,38.63e-06
Alpha,Improved,340,1302,127.23e-06
Alpha,Generated,341,1302,49.19e-06
Alpha,Generated,342,1302,40.08e-06
Alpha,Generated,343,1302,74.66e-06
Alpha,Generated,344,1302,64.08e-06
Alpha,Generated,345,1302,13.73e-06
